Account_ID,Account_Number,Customer_First_Name,Customer_Last_Name,State,City,Zip_Code,Original_Balance,Outstanding_Balance,Credit_Score,Placement_Date,Charge_Off_Date,Collection_Stage,Days_Past_Due,Last_Payment_Date,Account_Tenure_Months,Account_Status,Bankruptcy_Flag,Fraud_Flag
1,NVT00000001,Danielle,Parrish,North Carolina,Charlotte,52815,7162.48,7162.48,674,2025-08-19,2025-08-01,Primary,154,2026-01-02,6,Active,0,0
2,NVT00000002,Angel,Campos,Florida,Orlando,12933,685.29,685.29,630,2026-01-09,2026-01-06,Pre-Writeoff,82,,0,Active,0,0
3,NVT00000003,Joshua,Price,Illinois,Naperville,29129,9760.84,9760.84,685,2025-12-11,2025-11-16,Primary,106,2026-01-31,2,Active,0,0
4,NVT00000004,Jeffrey,Luna,Illinois,Springfield,75210,253.95,253.95,746,2025-03-20,2025-02-14,Secondary,320,2025-07-17,11,Active,0,0
5,NVT00000005,Jill,Rivera,Arizona,Mesa,14891,999.52,999.52,623,2025-11-16,2025-10-29,Primary,178,,3,Active,0,1
6,NVT00000006,Erica,Bryant,Illinois,Springfield,17196,9446.86,9446.86,623,2025-01-18,2025-01-14,Secondary,258,2025-04-06,12,Active,0,0
7,NVT00000007,Patricia,Johnson,Arizona,Tucson,25090,472.52,472.52,750,2024-09-05,2024-09-04,Tertiary,387,2025-05-19,17,Active,0,0
8,NVT00000008,Christopher,Nunez,Pennsylvania,Pittsburgh,64986,4970.42,4970.42,693,2026-01-30,2025-12-17,Pre-Writeoff,63,2026-01-31,1,Active,0,0
9,NVT00000009,Robert,Jackson,California,San Diego,61019,712.07,712.07,607,2025-03-15,2025-03-14,Secondary,343,2025-05-11,10,Active,0,0
10,NVT00000010,Anthony,Yoder,Arizona,Mesa,33734,17453.56,17453.56,677,2026-01-19,2025-12-25,Pre-Writeoff,65,2026-01-31,1,Active,0,0
11,NVT00000011,Jeffery,Thompson,Arizona,Tucson,48200,704.67,704.67,607,2025-11-08,2025-10-08,Primary,163,2026-01-31,3,Active,0,0
12,NVT00000012,William,Francis,California,Los Angeles,78911,3474.6,3474.6,607,2025-04-21,2025-03-13,Secondary,251,2025-07-25,10,Active,0,0
13,NVT00000013,Anthony,Phelps,Arizona,Phoenix,84991,4110.04,4110.04,656,2026-01-06,2025-12-18,Pre-Writeoff,86,2026-01-31,1,Active,0,0
14,NVT00000014,James,Adams,Florida,Tampa,77604,1416.24,1416.24,506,2024-09-12,2024-08-13,Tertiary,466,2025-06-20,17,Active,0,1
15,NVT00000015,Debra,White,Ohio,Columbus,68778,2127.41,2127.41,519,2025-07-03,2025-05-19,Primary,164,2025-08-12,8,Active,0,0
16,NVT00000016,Amy,Mills,Ohio,Cincinnati,39507,8780.64,8780.64,600,2024-09-20,2024-09-13,Tertiary,443,,16,Active,0,0
17,NVT00000017,Jeffrey,Murray,New York,New York,88603,2135.22,2135.22,569,2026-01-01,2025-11-25,Pre-Writeoff,65,2026-01-31,2,Active,0,0
18,NVT00000018,Bridget,Long,Georgia,Augusta,13929,6800.11,6800.11,661,2025-12-29,2025-11-19,Pre-Writeoff,86,2026-01-31,2,Active,0,0
19,NVT00000019,Lisa,Taylor,Ohio,Cleveland,92236,6303.62,6303.62,576,2026-01-30,2026-01-25,Pre-Writeoff,72,2026-01-31,0,Active,0,0
20,NVT00000020,Adam,Serrano,Ohio,Cincinnati,97024,13662.21,13662.21,541,2026-01-23,2026-01-13,Pre-Writeoff,47,,0,Active,0,0
