Phone_ID,Account_ID,Phone_Number,Phone_Source,Phone_Type,Is_Primary,Is_Verified,Is_DNC,Date_Added,Phone_Status,Preferred_Dial_Order
1,1,1043321819,Client,Mobile,1,1,0,2025-08-19,Active,1
2,1,6001338908,Skip Trace,Mobile,0,1,0,2025-08-19,Active,2
3,1,3863794026,Credit Bureau,Mobile,0,1,0,2025-08-19,Active,3
4,2,5423511615,Credit Bureau,Work,1,1,0,2026-01-09,Active,1
5,2,5940781618,Client,Mobile,0,0,0,2026-01-09,Active,2
6,2,4959310341,Client,Work,0,1,0,2026-01-09,Active,3
7,3,3164752553,Customer Provided,Mobile,1,1,0,2025-12-11,Active,1
8,3,4192832764,Skip Trace,Mobile,0,0,0,2025-12-11,Active,2
9,3,8350305641,Client,Mobile,0,1,0,2025-12-11,Active,3
10,4,3953767242,Client,Mobile,1,1,0,2025-03-20,Wrong Party,1
11,4,3884969653,Credit Bureau,Mobile,0,1,0,2025-03-20,Active,2
12,4,2871012269,Client,Landline,0,1,0,2025-03-20,Active,3
13,5,1669784801,Credit Bureau,Mobile,1,1,0,2025-11-16,Active,1
14,5,8451462704,Client,Landline,0,1,0,2025-11-16,Active,2
15,5,8281489325,Client,Landline,0,1,0,2025-11-16,Active,3
16,5,2880957015,Credit Bureau,Mobile,0,1,0,2025-11-16,Active,4
17,6,4303911718,Customer Provided,Mobile,1,1,0,2025-01-18,Active,1
18,6,2278248963,Credit Bureau,Home,0,1,0,2025-01-18,Active,2
19,6,8346578713,Customer Provided,Mobile,0,1,0,2025-01-18,Active,3
20,7,3150983930,Credit Bureau,Mobile,1,1,0,2024-09-05,Active,1
21,7,1031051834,Client,Mobile,0,0,0,2024-09-05,Active,2
22,7,7382997376,Credit Bureau,Mobile,0,0,0,2024-09-05,Active,3
23,7,3116566701,Credit Bureau,Mobile,0,1,0,2024-09-05,Active,4
24,8,0651333872,Credit Bureau,Mobile,1,1,1,2026-01-30,Wrong Party,1
25,8,6247317810,Skip Trace,Work,0,1,0,2026-01-30,Disconnected,2
26,8,8013267736,Skip Trace,Mobile,0,1,0,2026-01-30,Active,3
27,8,0260647468,Credit Bureau,Mobile,0,1,0,2026-01-30,Active,4
28,9,7234309805,Client,Mobile,1,1,0,2025-03-15,Active,1
29,9,0097882081,Client,Landline,0,1,0,2025-03-15,Active,2
30,9,2191361939,Client,Mobile,0,1,0,2025-03-15,Active,3
31,9,9091699854,Client,Mobile,0,1,0,2025-03-15,Disconnected,4
32,10,3534624751,Client,Mobile,1,1,0,2026-01-19,Active,1
33,10,0799118384,Skip Trace,Mobile,0,1,0,2026-01-19,Active,2
